epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,8357.45,0.96377,0.658,0.98992,0.72072,0.65139,0.72572,0.48463,1.40188,1.01959,1.16786,0.000481144,0.000481144,0.000481144
69,8479.45,0.9695,0.66147,0.99535,0.78213,0.58472,0.69969,0.4714,1.36509,1.0411,1.15872,0.000466997,0.000466997,0.000466997
70,8603.72,0.94516,0.64447,0.98482,0.72494,0.6729,0.70049,0.47599,1.36224,1.01138,1.1655,0.00045285,0.00045285,0.00045285
71,8725.78,0.95371,0.63773,0.99748,0.79298,0.61731,0.71369,0.48907,1.37353,1.02377,1.17519,0.000438703,0.000438703,0.000438703
72,8847.26,0.97093,0.64382,0.99344,0.79097,0.6505,0.70883,0.48195,1.36754,1.03076,1.17311,0.000424556,0.000424556,0.000424556
73,8970.22,0.97708,0.65156,1.00204,0.76762,0.63912,0.70986,0.47649,1.37778,1.01153,1.17678,0.000410409,0.000410409,0.000410409
74,9091.7,0.91686,0.62044,0.9853,0.76228,0.64998,0.71916,0.48098,1.39777,1.01803,1.19794,0.000396262,0.000396262,0.000396262
75,9216.21,0.94618,0.63185,0.98567,0.80426,0.61823,0.73935,0.50819,1.38287,0.97636,1.17916,0.000382115,0.000382115,0.000382115
76,9341.22,0.87198,0.61668,0.95937,0.77935,0.63078,0.7158,0.48801,1.38491,1.01301,1.1746,0.000367967,0.000367967,0.000367967
77,9464.92,0.93661,0.62213,0.98621,0.72673,0.65708,0.71732,0.48836,1.35873,1.0153,1.16581,0.00035382,0.00035382,0.00035382
78,9589.06,0.93219,0.61089,1.00087,0.6995,0.66653,0.72625,0.4939,1.37009,1.00246,1.16465,0.000339673,0.000339673,0.000339673
79,9713.6,0.88979,0.62307,0.97402,0.7164,0.69622,0.72704,0.49625,1.35935,0.99434,1.15996,0.000325526,0.000325526,0.000325526
80,9836.19,0.91888,0.61155,0.98098,0.7086,0.66096,0.72934,0.4967,1.38002,0.99647,1.1827,0.000311379,0.000311379,0.000311379
81,9960.57,0.90988,0.60407,0.98669,0.73944,0.66236,0.7212,0.49112,1.37688,1.01301,1.17991,0.000297232,0.000297232,0.000297232
82,10082.3,0.88781,0.59322,0.96138,0.71601,0.69256,0.72198,0.48314,1.3858,1.0088,1.17977,0.000283085,0.000283085,0.000283085
83,10204,0.88894,0.60968,0.96626,0.72081,0.65773,0.72692,0.49273,1.37701,1.02801,1.175,0.000268938,0.000268938,0.000268938
84,10325.7,0.87089,0.57149,0.9626,0.73023,0.6648,0.74296,0.50263,1.37549,1.02945,1.17318,0.000254791,0.000254791,0.000254791
85,10448.2,0.86372,0.59076,0.95949,0.75168,0.68609,0.74101,0.50251,1.37782,0.99137,1.17855,0.000240644,0.000240644,0.000240644
86,10570.7,0.8824,0.58191,0.97887,0.74947,0.69237,0.73309,0.5007,1.37658,0.98973,1.17314,0.000226497,0.000226497,0.000226497
87,10693.8,0.87343,0.5876,0.97204,0.76539,0.67244,0.7323,0.49987,1.36106,0.97244,1.16536,0.000212349,0.000212349,0.000212349
88,10816.5,0.82818,0.57154,0.9629,0.76335,0.68058,0.71808,0.49167,1.35654,0.97453,1.16441,0.000198202,0.000198202,0.000198202
89,10939.5,0.86995,0.56583,0.96483,0.76117,0.69158,0.73969,0.4999,1.34382,0.99568,1.16285,0.000184055,0.000184055,0.000184055
90,11061.3,0.87037,0.55963,0.96744,0.72112,0.72386,0.75571,0.51987,1.35034,0.98586,1.16725,0.000169908,0.000169908,0.000169908
91,11181.9,0.8261,0.72752,0.93196,0.77019,0.65735,0.74501,0.50651,1.37984,0.98717,1.1775,0.000155761,0.000155761,0.000155761
92,11302.9,0.81946,0.55434,0.92237,0.71758,0.66511,0.72555,0.50298,1.39855,1.03701,1.18864,0.000141614,0.000141614,0.000141614
93,11423.7,0.82559,0.59008,0.94123,0.79061,0.63686,0.72506,0.49848,1.38447,1.01804,1.18791,0.000127467,0.000127467,0.000127467
94,11543.5,0.7821,0.51292,0.92413,0.73312,0.65718,0.73426,0.49976,1.36665,1.02736,1.18244,0.00011332,0.00011332,0.00011332
95,11664.5,0.80154,0.53495,0.93031,0.7576,0.63647,0.73517,0.5006,1.3663,1.00107,1.17476,9.91726e-05,9.91726e-05,9.91726e-05
96,11784.3,0.77401,0.49995,0.91049,0.68531,0.7071,0.73636,0.50487,1.37045,0.98526,1.175,8.50255e-05,8.50255e-05,8.50255e-05
97,11906.7,0.78247,0.49404,0.91345,0.72249,0.68356,0.73269,0.49931,1.37091,0.9912,1.17622,7.08784e-05,7.08784e-05,7.08784e-05
98,12028.2,0.79955,0.51125,0.92294,0.71071,0.6889,0.73498,0.4974,1.37328,0.9948,1.17807,5.67313e-05,5.67313e-05,5.67313e-05
99,12149.4,0.76444,0.48185,0.91041,0.72777,0.64861,0.72955,0.49429,1.3748,0.99392,1.17851,4.25842e-05,4.25842e-05,4.25842e-05
100,12271.1,0.78618,0.5086,0.90038,0.73358,0.65467,0.73597,0.49723,1.38237,0.98981,1.18059,2.84371e-05,2.84371e-05,2.84371e-05
