epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.584,1.484,2.82514,1.27286,0.27553,0.56771,0.25438,0.17282,1.33071,2.91542,1.09876,0.00044299,0.00044299,0.00044299
2,255.627,1.39135,1.9526,1.21804,0.34955,0.29741,0.27227,0.1672,1.42319,2.63463,1.18423,0.000891357,0.000891357,0.000891357
3,378.803,1.37355,1.84327,1.16213,0.36983,0.47222,0.34127,0.21713,1.44301,1.98149,1.17957,0.00133067,0.00133067,0.00133067
4,501.512,1.40431,1.82799,1.20081,0.39504,0.47925,0.35028,0.21793,1.54012,2.04321,1.27645,0.00138656,0.00138656,0.00138656
5,624.408,1.42023,1.81258,1.21573,0.37606,0.5463,0.4388,0.25847,1.438,1.94924,1.19163,0.00137241,0.00137241,0.00137241
6,747.281,1.37841,1.65911,1.20635,0.4503,0.53814,0.41647,0.27266,1.40966,2.24612,1.22568,0.00135826,0.00135826,0.00135826
7,871.073,1.37285,1.60815,1.18456,0.46111,0.5342,0.4914,0.31757,1.45744,1.61095,1.20407,0.00134412,0.00134412,0.00134412
8,994.316,1.37246,1.52355,1.15367,0.54597,0.57561,0.53125,0.34412,1.42132,1.50575,1.18312,0.00132997,0.00132997,0.00132997
9,1117.22,1.35178,1.43112,1.15886,0.53381,0.51535,0.52155,0.34307,1.43214,1.58653,1.20538,0.00131582,0.00131582,0.00131582
10,1240.12,1.30648,1.49878,1.13472,0.40868,0.58966,0.44151,0.27632,1.40147,1.69131,1.18255,0.00130168,0.00130168,0.00130168
11,1362.26,1.32985,1.3847,1.15542,0.50131,0.5877,0.52154,0.32908,1.44537,1.50877,1.19956,0.00128753,0.00128753,0.00128753
12,1483.5,1.29316,1.39574,1.13907,0.53504,0.55164,0.56061,0.37189,1.4117,1.42109,1.19106,0.00127338,0.00127338,0.00127338
13,1606.88,1.30752,1.34097,1.1342,0.42858,0.58051,0.48873,0.30884,1.38235,1.59659,1.16869,0.00125923,0.00125923,0.00125923
14,1731.17,1.24068,1.28625,1.12326,0.51097,0.61268,0.56702,0.37472,1.37395,1.35803,1.14757,0.00124509,0.00124509,0.00124509
15,1853.8,1.25277,1.24711,1.10543,0.71609,0.49446,0.59616,0.38208,1.41437,1.38093,1.17019,0.00123094,0.00123094,0.00123094
16,1976.19,1.30443,1.27477,1.10812,0.55411,0.64795,0.60575,0.38917,1.38076,1.33422,1.14418,0.00121679,0.00121679,0.00121679
17,2100.9,1.26592,1.25228,1.1187,0.55923,0.56757,0.5689,0.37471,1.37112,1.3826,1.15644,0.00120265,0.00120265,0.00120265
18,2222.22,1.27803,1.19448,1.10241,0.50711,0.62564,0.6131,0.39373,1.39568,1.37314,1.1709,0.0011885,0.0011885,0.0011885
19,2344.22,1.2191,1.17525,1.09937,0.49142,0.65772,0.59019,0.3822,1.3808,1.39864,1.16275,0.00117435,0.00117435,0.00117435
20,2467.43,1.2635,1.13196,1.10909,0.6629,0.56024,0.64118,0.42415,1.36785,1.31681,1.15094,0.00116021,0.00116021,0.00116021
21,2589.43,1.25068,1.13734,1.10941,0.65402,0.55569,0.57571,0.37897,1.3673,1.28135,1.15111,0.00114606,0.00114606,0.00114606
22,2710.93,1.23343,1.11837,1.1139,0.68963,0.64564,0.65809,0.4217,1.4147,1.29898,1.17466,0.00113191,0.00113191,0.00113191
23,2831.87,1.21826,1.12081,1.09523,0.59231,0.61954,0.6183,0.39865,1.36946,1.23126,1.16285,0.00111776,0.00111776,0.00111776
24,2954.25,1.20939,1.07456,1.08479,0.68792,0.65515,0.71391,0.47968,1.37035,1.15468,1.17071,0.00110362,0.00110362,0.00110362
25,3077.77,1.18718,1.07305,1.07032,0.69557,0.64342,0.64434,0.42484,1.38187,1.27692,1.1646,0.00108947,0.00108947,0.00108947
26,3200.94,1.20678,1.0485,1.08088,0.74048,0.56414,0.64162,0.43556,1.38871,1.20411,1.15611,0.00107532,0.00107532,0.00107532
27,3325.24,1.20059,1.02135,1.08523,0.68514,0.6673,0.68414,0.45337,1.37823,1.19079,1.17051,0.00106118,0.00106118,0.00106118
28,3454.29,1.16909,1.02066,1.06547,0.66813,0.59788,0.65739,0.42984,1.43275,1.25784,1.18318,0.00104703,0.00104703,0.00104703
29,3578.38,1.17583,1.00458,1.08515,0.65742,0.63061,0.66402,0.4366,1.36148,1.20902,1.14657,0.00103288,0.00103288,0.00103288
30,3702.29,1.16293,0.98877,1.09592,0.72906,0.55818,0.66954,0.4545,1.3446,1.1681,1.14843,0.00101873,0.00101873,0.00101873
31,3826.28,1.19305,0.95769,1.07716,0.51399,0.58878,0.52988,0.32795,1.43654,1.40695,1.20317,0.00100459,0.00100459,0.00100459
32,3949.44,1.22938,0.97407,1.08465,0.63976,0.56002,0.59943,0.3854,1.40954,1.3565,1.18621,0.00099044,0.00099044,0.00099044
33,4071.44,1.1907,1.00087,1.08558,0.55489,0.62254,0.58553,0.39403,1.38976,1.28932,1.19159,0.000976293,0.000976293,0.000976293
34,4194.46,1.1678,0.98832,1.0903,0.64284,0.61938,0.60676,0.39872,1.3849,1.15685,1.16578,0.000962146,0.000962146,0.000962146
35,4316.12,1.15103,0.92455,1.06209,0.75874,0.55207,0.64983,0.41844,1.39476,1.19344,1.18292,0.000947999,0.000947999,0.000947999
36,4438.48,1.13187,0.91111,1.05105,0.61013,0.61992,0.62936,0.41202,1.3595,1.1472,1.16435,0.000933851,0.000933851,0.000933851
37,4561.3,1.12058,0.87384,1.0478,0.63515,0.64375,0.64133,0.41579,1.39921,1.18553,1.16932,0.000919704,0.000919704,0.000919704
38,4684.53,1.10228,0.86249,1.03898,0.69745,0.61457,0.65979,0.43665,1.42266,1.10456,1.18606,0.000905557,0.000905557,0.000905557
39,4805.9,1.13113,0.85724,1.05393,0.70623,0.53897,0.63995,0.43224,1.39501,1.15065,1.17307,0.00089141,0.00089141,0.00089141
40,4927.28,1.15886,0.86627,1.06358,0.6679,0.56032,0.64816,0.42686,1.38648,1.25678,1.17482,0.000877263,0.000877263,0.000877263
41,5049.22,1.1199,0.89364,1.07172,0.62476,0.5314,0.58161,0.38082,1.38697,1.22858,1.16997,0.000863116,0.000863116,0.000863116
42,5170.48,1.10325,0.87442,1.04861,0.73072,0.62703,0.67811,0.44885,1.37578,1.1023,1.17799,0.000848969,0.000848969,0.000848969
43,5294.47,1.13048,0.8447,1.06191,0.65586,0.66722,0.69651,0.46302,1.39014,1.09436,1.1792,0.000834822,0.000834822,0.000834822
44,5416.7,1.10066,0.82432,1.04765,0.70583,0.6316,0.69663,0.45999,1.3929,1.08935,1.17794,0.000820675,0.000820675,0.000820675
45,5540.2,1.08097,0.8225,1.04668,0.75298,0.62853,0.70246,0.46009,1.40658,1.08009,1.19054,0.000806528,0.000806528,0.000806528
46,5663.12,1.08153,0.78761,1.04286,0.741,0.60405,0.69871,0.46457,1.38224,1.10362,1.16993,0.00079238,0.00079238,0.00079238
47,5787.29,1.08788,0.79822,1.03479,0.65866,0.69633,0.69688,0.46722,1.35422,1.0459,1.1524,0.000778233,0.000778233,0.000778233
48,5907.1,1.08006,0.83714,1.03849,0.5749,0.68223,0.65767,0.43741,1.34494,1.12251,1.13652,0.000764086,0.000764086,0.000764086
49,6029.91,1.08325,0.85031,1.04202,0.60808,0.57072,0.62387,0.41645,1.36212,1.12118,1.14969,0.000749939,0.000749939,0.000749939
50,6153.52,1.07034,0.81383,1.03216,0.72064,0.63293,0.69135,0.46133,1.40626,1.06754,1.19497,0.000735792,0.000735792,0.000735792
51,6276.16,1.06335,0.78596,1.03152,0.82283,0.59113,0.72065,0.47561,1.40055,1.04032,1.18996,0.000721645,0.000721645,0.000721645
52,6398.46,1.02236,0.73441,1.01202,0.76968,0.62903,0.7071,0.46157,1.37192,1.0503,1.15823,0.000707498,0.000707498,0.000707498
53,6519.74,1.04102,0.7616,1.0236,0.75626,0.59133,0.68423,0.4669,1.37247,1.07669,1.16562,0.000693351,0.000693351,0.000693351
54,6642.31,1.05922,0.75585,1.03667,0.77813,0.68821,0.75504,0.50436,1.37396,1.00841,1.18204,0.000679204,0.000679204,0.000679204
55,6764.06,1.03608,0.7428,1.02115,0.75634,0.69145,0.72798,0.49439,1.33485,1.02119,1.15619,0.000665057,0.000665057,0.000665057
56,6886.21,1.03059,0.73415,1.01877,0.67478,0.61127,0.6648,0.45166,1.35077,1.09672,1.16408,0.000650909,0.000650909,0.000650909
57,7009.59,1.00658,0.75126,1.00877,0.76066,0.54473,0.71869,0.48794,1.37347,1.0332,1.17079,0.000636762,0.000636762,0.000636762
58,7132.31,1.02842,0.72674,1.02344,0.69112,0.61786,0.67349,0.45234,1.39175,1.10965,1.18284,0.000622615,0.000622615,0.000622615
59,7256.02,1.00435,0.71418,1.02157,0.70415,0.70969,0.7149,0.48315,1.38893,1.03603,1.18102,0.000608468,0.000608468,0.000608468
60,7378.76,1.00332,0.7233,1.00828,0.69102,0.67637,0.70436,0.47543,1.39907,1.07788,1.18598,0.000594321,0.000594321,0.000594321
61,7500.51,1.01013,0.70382,1.00614,0.70326,0.67954,0.71657,0.48762,1.36117,1.04264,1.16238,0.000580174,0.000580174,0.000580174
62,7622.01,0.99192,0.7011,0.9954,0.73467,0.65481,0.72228,0.49731,1.39066,1.02606,1.17845,0.000566027,0.000566027,0.000566027
63,7744.47,1.01009,0.7293,1.02307,0.79216,0.60618,0.72978,0.50203,1.3636,1.00817,1.16798,0.00055188,0.00055188,0.00055188
64,7867.37,1.00197,0.69031,1.00352,0.8016,0.63841,0.73431,0.50492,1.3443,1.08957,1.16467,0.000537733,0.000537733,0.000537733
65,7989.83,0.95259,0.6638,1.0047,0.73792,0.63848,0.73309,0.49571,1.35423,1.02912,1.16389,0.000523586,0.000523586,0.000523586
66,8112.2,0.97972,0.6929,1.00723,0.74372,0.65568,0.72754,0.501,1.34829,1.04279,1.16035,0.000509438,0.000509438,0.000509438
67,8234.68,0.98565,0.65257,1.00993,0.79923,0.60903,0.69972,0.47862,1.36256,1.06194,1.1595,0.000495291,0.000495291,0.000495291
